ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_GETTITO;DESCRIZIONE_GETTITO;IMPORTO_CORSI_PREACCADEMICI;IMPORTO_CORSI_SUP_VO;IMPORTO_CORSI_ACCADEMICI_NO;IMPORTO_CORSI_ACCADEMICI_NO_POST
2024-2025;060101060038;Accademie delle Belle Arti;;FROSINONE;05 ;Altro da studenti non costituenti gettito;0;0;7860;0
2024-2025;063101063049;Accademie delle Belle Arti;;NAPOLI;01a;Tasse e contributi per iscrizione e frequenza;0;0;2156566;0
2024-2025;063101063049;Accademie delle Belle Arti;;NAPOLI;02a;Tasse per esami di ammissione ed esami finali;0;0;82630;0
2024-2025;063101063049;Accademie delle Belle Arti;;NAPOLI;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;063101063049;Accademie delle Belle Arti;;NAPOLI;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;508525;0
2024-2025;063101063049;Accademie delle Belle Arti;;NAPOLI;04 ;Diritti di segreteria;0;0;0;0
2024-2025;063101063049;Accademie delle Belle Arti;;NAPOLI;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;066101066049;Accademie delle Belle Arti;;L'AQUILA;01a;Tasse e contributi per iscrizione e frequenza;0;0;418297,2;0
2024-2025;066101066049;Accademie delle Belle Arti;;L'AQUILA;02a;Tasse per esami di ammissione ed esami finali;0;0;8039,86;0
2024-2025;066101066049;Accademie delle Belle Arti;;L'AQUILA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;066101066049;Accademie delle Belle Arti;;L'AQUILA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;69580;0
2024-2025;066101066049;Accademie delle Belle Arti;;L'AQUILA;04 ;Diritti di segreteria;0;0;6720;0
2024-2025;066101066049;Accademie delle Belle Arti;;L'AQUILA;05 ;Altro da studenti non costituenti gettito;0;0;8048;0
2024-2025;071101071024;Accademie delle Belle Arti;;FOGGIA;01a;Tasse e contributi per iscrizione e frequenza;0;0;250787,28;0
2024-2025;071101071024;Accademie delle Belle Arti;;FOGGIA;02a;Tasse per esami di ammissione ed esami finali;0;0;18700;0
2024-2025;071101071024;Accademie delle Belle Arti;;FOGGIA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;071101071024;Accademie delle Belle Arti;;FOGGIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;118424;0
2024-2025;071101071024;Accademie delle Belle Arti;;FOGGIA;04 ;Diritti di segreteria;0;0;4700;0
2024-2025;071101071024;Accademie delle Belle Arti;;FOGGIA;05 ;Altro da studenti non costituenti gettito;0;0;17424;0
2024-2025;072101072006;Accademie delle Belle Arti;;BARI;01a;Tasse e contributi per iscrizione e frequenza;0;100;565280;100
2024-2025;072101072006;Accademie delle Belle Arti;;BARI;02a;Tasse per esami di ammissione ed esami finali;0;0;24203;0
2024-2025;072101072006;Accademie delle Belle Arti;;BARI;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
