DATAFLOW,FREQ,CITTADINANZA,DURATA_DISOCCUPAZ,CLASSE_ETA,ITTER107,SESSO,TIPO_DATO,TITOLO_STUDIO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,13,2018,15.544296,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,13,2019,14.547491,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,13,2020,12.19713,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,13,2021,11.242751,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,13,2022,10.135885,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,13,2023,10.689161,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,13,2024,9.231412,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,7,2018,12.71519,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,7,2019,11.295244,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,7,2020,11.808016,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,7,2021,10.409782,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,7,2022,8.550323,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,7,2023,8.453904,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,7,2024,7.771869,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,99,2018,13.607108,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,99,2019,12.573877,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,99,2020,12.010752,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,99,2021,10.631832,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,99,2022,8.914178,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,99,2023,9.152565,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITD,9,UNEM_R,99,2024,8.357405,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITE,1,UNEM_R,99,2018,13.886828,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITE,1,UNEM_R,99,2019,13.802251,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITE,1,UNEM_R,99,2020,12.290923,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITE,1,UNEM_R,99,2021,13.546797,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITE,1,UNEM_R,99,2022,10.312113,,,,,,,,,
