freq,territorio,ind_type,measure,ordinescol,gest_scuola,time_period,obs_value,year
A,IT108,REP_F,9,2,1A,2010,33.0,2010
A,IT108,REP_F,9,2,1A,2011,30.0,2011
A,IT108,REP_F,9,2,1A,2012,16.0,2012
A,IT108,REP_F,9,2,1A,2013,15.0,2013
A,IT108,REP_F,9,2,1A,2014,31.0,2014
A,IT108,REP_F,9,2,2,2010,0.0,2010
A,IT108,REP_F,9,2,2,2011,1.0,2011
A,IT108,REP_F,9,2,2,2012,1.0,2012
A,IT108,REP_F,9,2,2,2013,0.0,2013
A,IT108,REP_F,9,2,2,2014,0.0,2014
A,IT108,REP_F,9,2,9,2010,33.0,2010
A,IT108,REP_F,9,2,9,2011,31.0,2011
A,IT108,REP_F,9,2,9,2012,17.0,2012
A,IT108,REP_F,9,2,9,2013,15.0,2013
A,IT108,REP_F,9,2,9,2014,31.0,2014
A,IT108,FOR_ST,9,2,1,2010,3552.0,2010
A,IT108,FOR_ST,9,2,1,2011,3776.0,2011
A,IT108,FOR_ST,9,2,1,2012,3954.0,2012
A,IT108,FOR_ST,9,2,1,2013,4077.0,2013
A,IT108,FOR_ST,9,2,1,2014,4377.0,2014
A,IT108,FOR_ST,9,2,1A,2010,3552.0,2010
A,IT108,FOR_ST,9,2,1A,2011,3776.0,2011
A,IT108,FOR_ST,9,2,1A,2012,3954.0,2012
A,IT108,FOR_ST,9,2,1A,2013,4077.0,2013
A,IT108,FOR_ST,9,2,1A,2014,4377.0,2014
A,IT108,FOR_ST,9,2,2,2010,41.0,2010
A,IT108,FOR_ST,9,2,2,2011,41.0,2011
A,IT108,FOR_ST,9,2,2,2012,48.0,2012
A,IT108,FOR_ST,9,2,2,2013,44.0,2013
A,IT108,FOR_ST,9,2,2,2014,43.0,2014
A,IT108,FOR_ST,9,2,9,2010,3593.0,2010
A,IT108,FOR_ST,9,2,9,2011,3817.0,2011
A,IT108,FOR_ST,9,2,9,2012,4002.0,2012
A,IT108,FOR_ST,9,2,9,2013,4121.0,2013
A,IT108,FOR_ST,9,2,9,2014,4420.0,2014
A,IT108,FOR_ST_F,9,2,1,2010,1701.0,2010
A,IT108,FOR_ST_F,9,2,1,2011,1851.0,2011
