DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
01/11/2024;01501;Milano - Università degli studi;02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01501;Milano - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;01501;Milano - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;01501;Milano - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;01501;Milano - Università degli studi;03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01501;Milano - Università degli studi;03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01502;Milano - Politecnico;01 ;Mense;0;0
01/11/2024;01502;Milano - Politecnico;02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;01502;Milano - Politecnico;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;01502;Milano - Politecnico;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;01502;Milano - Politecnico;02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01502;Milano - Politecnico;02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01502;Milano - Politecnico;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;01502;Milano - Politecnico;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;01502;Milano - Politecnico;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;01502;Milano - Politecnico;03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01502;Milano - Politecnico;03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";01 ;Mense;0;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);1;352
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";01 ;Mense;0;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);01 ;Mense;0;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01508;Milano - Università Vita-Salute San Raffaele;01 ;Mense;0;0
01/11/2024;01508;Milano - Università Vita-Salute San Raffaele;02 ;Residenze direttamente gestite dall'istituto (*);2;137
01/11/2024;01508;Milano - Università Vita-Salute San Raffaele;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;137
01/11/2024;01508;Milano - Università Vita-Salute San Raffaele;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;01508;Milano - Università Vita-Salute San Raffaele;02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
