antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})",frozenset({'LINGUISTICO'}),0.23546511627906977,0.42005813953488375,0.19912790697674418,0.845679012345679,2.013242769874834,1.0,0.10021886830719307,3.7580232558139532,0.6582942466209651,0.4363057324840764,0.733902657879266,0.6598637276261267
"frozenset({'LINGUISTICO', 'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SCIENTIFICO', 'SCIENZE UMANE'})",frozenset({'SISTEMI INFORMATIVI AZIENDALI'}),0.20203488372093023,0.31976744186046513,0.17078488372093023,0.8453237410071942,2.6435578809679527,1.0,0.10618070578691184,4.397782585181178,0.7791342092004805,0.48654244306418215,0.7726126790874992,0.6897073250490516
"frozenset({'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO', 'SCIENTIFICO', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})","frozenset({'LINGUISTICO', 'COSTR., AMB. E TERRITORIO - BIENNIO COM.'})",0.18313953488372092,0.1867732558139535,0.15479651162790697,0.8452380952380952,4.5254771169168055,1.0,0.12059094442942131,5.25469588550984,0.9536865320034084,0.7195945945945946,0.8096940295331715,0.8370159347785806
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'TURISMO'})","frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SCIENTIFICO'})",0.2063953488372093,0.3495639534883721,0.1744186046511628,0.8450704225352113,2.4174987555269243,1.0,0.10227023053001623,4.198269027484144,0.7388431013431013,0.4571428571428571,0.7618065937524588,0.6720154607478551
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'CLASSICO'})",frozenset({'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'}),0.2063953488372093,0.4484011627906977,0.1744186046511628,0.8450704225352113,1.8846303102243933,1.0,0.08187069023796646,3.5603197674418605,0.5914682539682539,0.3630862329803328,0.7191263523167992,0.6170246764215764
"frozenset({'LINGUISTICO', 'SCIENZE UMANE', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})","frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})",0.19694767441860464,0.30377906976744184,0.16642441860465115,0.8450184501845018,2.7816875297939583,1.0,0.10659583727690644,4.492282668881506,0.7975893615760044,0.4978260869565218,0.7773960203067584,0.6964326700683274
"frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SCIENZE UMANE'})","frozenset({'LINGUISTICO', 'SCIENTIFICO'})",0.23909883720930233,0.36773255813953487,0.20203488372093023,0.8449848024316109,2.2978242848733137,1.0,0.11411045666576528,4.078744870041039,0.7422852548906435,0.4991023339317774,0.7548265380987317,0.6971959585280585
"frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SCIENTIFICO', 'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO', 'COSTR., AMB. E TERRITORIO - BIENNIO COM.'})",frozenset({'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'}),0.1875,0.4484011627906977,0.15843023255813954,0.8449612403100776,1.8843868179362506,1.0,0.07435501453488372,3.5578125000000016,0.5776287932251234,0.33181126331811267,0.7189284145805885,0.5991418843365623
"frozenset({'LINGUISTICO', 'SCIENTIFICO', 'SCIENZE UMANE', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})",frozenset({'CLASSICO'}),0.1875,0.34084302325581395,0.15843023255813954,0.8449612403100776,2.4790334044065387,1.0,0.09452216569767442,4.251562500000001,0.7342978122794637,0.4282907662082515,0.764792355751562,0.6548900018181518
"frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'TURISMO', 'CLASSICO'})","frozenset({'LINGUISTICO', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})",0.17805232558139536,0.26308139534883723,0.1504360465116279,0.8448979591836734,3.2115458338031337,1.0,0.10359379225256894,4.751185740514074,0.8377947778247629,0.5174999999999998,0.7895262246910597,0.7083605818017814
"frozenset({'LINGUISTICO', 'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO'})","frozenset({'SCIENTIFICO', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})",0.17805232558139536,0.4011627906976744,0.1504360465116279,0.8448979591836734,2.1061224489795918,1.0,0.07900807869118441,3.860924112607097,0.6389625699970527,0.3508474576271186,0.7409946502872993,0.6099489795918367
"frozenset({'LINGUISTICO', 'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO'})","frozenset({'CLASSICO', 'COSTR., AMB. E TERRITORIO - BIENNIO COM.'})",0.17805232558139536,0.17369186046511628,0.1504360465116279,0.8448979591836734,4.864349756639057,1.0,0.11950980682125473,5.327513004895958,0.9665124702605963,0.747292418772563,0.81229515552923,0.855503372897276
"frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'TURISMO', 'SCIENTIFICO', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})",frozenset({'LINGUISTICO'}),0.20130813953488372,0.42005813953488375,0.17005813953488372,0.8447653429602888,2.0110676676701686,1.0,0.08549701696863168,3.7359045429962148,0.6294689033542535,0.3768115942028985,0.7323272079114754,0.6248048168088641
"frozenset({'INFORMATICA', 'SCIENTIFICO', 'INFOR. TELECOM. - BIENNIO COMUNE'})",frozenset({'LINGUISTICO'}),0.20130813953488372,0.42005813953488375,0.17005813953488372,0.8447653429602888,2.0110676676701686,1.0,0.08549701696863168,3.7359045429962148,0.6294689033542535,0.3768115942028985,0.7323272079114754,0.6248048168088641
"frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SCIENTIFICO', 'COSTR., AMB. E TERRITORIO - BIENNIO COM.'})",frozenset({'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'}),0.19186046511627908,0.4484011627906977,0.1620639534883721,0.8446969696969697,1.8837974559206325,1.0,0.07603349783666848,3.5517583664208745,0.5805400522631222,0.3389057750759878,0.71844931528726,0.6030616128873827
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO'})","frozenset({'SCIENTIFICO', 'COSTR., AMB. E TERRITORIO - BIENNIO COM.'})",0.1824127906976744,0.2063953488372093,0.15406976744186046,0.8446215139442231,4.092250715448067,1.0,0.1164206158734451,5.107558139534884,0.9242264150943397,0.6563467492260062,0.8042117245304496,0.7955501935918299
"frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SCIENTIFICO', 'INFOR. TELECOM. - BIENNIO COMUNE'})","frozenset({'LINGUISTICO', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})",0.1824127906976744,0.26308139534883723,0.15406976744186046,0.8446215139442231,3.21049503642887,1.0,0.10608035593564089,4.742732558139536,0.8421383647798742,0.5286783042394014,0.7891510879558689,0.7151284365301226
"frozenset({'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO', 'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})","frozenset({'SCIENTIFICO', 'COSTR., AMB. E TERRITORIO - BIENNIO COM.'})",0.2056686046511628,0.2063953488372093,0.17369186046511628,0.8445229681978799,4.091773254367192,1.0,0.13124281706327745,5.104320824524313,0.9512492965887905,0.7286585365853658,0.8040875496705885,0.8430361319862638
"frozenset({'TURISMO', 'SCIENTIFICO'})","frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})",0.23837209302325582,0.3953488372093023,0.20130813953488372,0.8445121951219512,2.136119081779053,1.0,0.10706800973499189,3.8887368901048784,0.698321713010169,0.4655462184873949,0.7428470919324578,0.6768516857962696
