DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2010,22.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2011,22.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2012,24.4,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2013,25.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2014,24.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2015,23.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2016,21.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2017,19.4,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2018,17.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2019,16.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2020,18.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2021,16.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2022,14.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2023,14.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2024,14.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EA21,2025,14.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2009,27.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2010,32.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2011,22.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2012,20.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2013,18.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2014,14.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2015,14.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2016,14.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2017,12.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2018,12.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2019,11.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2020,18.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2021,16.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2022,18.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2023,17.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2024,19.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EE,2025,20.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2009,26.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2010,33.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,EL,2011,45.2,,
